time_s,temp_c,time_min,rolling_avg,rate_of_change
586.32,42.38,9.772,42.379,0.0
587.6,42.44,9.793,42.386,0.047
588.89,42.44,9.815,42.392,0.0
590.17,42.44,9.836,42.395,0.0
591.45,42.44,9.858,42.398,0.0
592.74,42.44,9.879,42.401,0.0
594.02,42.44,9.9,42.404,0.0
595.3,42.44,9.922,42.407,0.0
596.59,42.44,9.943,42.41,0.0
597.87,42.44,9.964,42.413,0.0
599.15,42.44,9.986,42.416,0.0
600.44,42.44,10.007,42.419,0.0
601.72,42.44,10.029,42.419,0.0
603.0,42.44,10.05,42.422,0.0
604.29,42.44,10.071,42.425,0.0
605.57,42.44,10.093,42.425,0.0
606.85,42.44,10.114,42.428,0.0
608.14,42.44,10.136,42.431,0.0
609.42,42.44,10.157,42.434,0.0
610.7,42.44,10.178,42.437,0.0
611.99,42.44,10.2,42.44,0.0
613.27,42.5,10.221,42.443,0.047
614.55,42.44,10.242,42.443,-0.047
615.84,42.44,10.264,42.443,0.0
617.12,42.44,10.285,42.443,0.0
618.4,42.5,10.307,42.446,0.047
619.69,42.44,10.328,42.446,-0.047
620.97,42.44,10.35,42.446,0.0
622.26,42.5,10.371,42.449,0.047
623.54,42.5,10.392,42.452,0.0
624.82,42.5,10.414,42.455,0.0
626.11,42.5,10.435,42.458,0.0
627.39,42.5,10.456,42.461,0.0
628.67,42.5,10.478,42.464,0.0
629.96,42.5,10.499,42.467,0.0
631.24,42.5,10.521,42.47,0.0
632.52,42.5,10.542,42.473,0.0
633.81,42.5,10.564,42.476,0.0
635.09,42.5,10.585,42.479,0.0
636.37,42.5,10.606,42.482,0.0
637.66,42.5,10.628,42.485,0.0
638.94,42.5,10.649,42.485,0.0
640.22,42.5,10.67,42.488,0.0
641.51,42.5,10.692,42.491,0.0
642.79,42.5,10.713,42.494,0.0
644.07,42.5,10.734,42.494,0.0
645.36,42.56,10.756,42.5,0.047
646.64,42.56,10.777,42.506,0.0
647.92,42.56,10.799,42.509,0.0
649.21,42.56,10.82,42.512,0.0
650.49,42.56,10.842,42.515,0.0
651.77,42.56,10.863,42.518,0.0
653.06,42.56,10.884,42.521,0.0
654.34,42.56,10.906,42.524,0.0
655.63,42.56,10.927,42.527,0.0
656.91,42.56,10.948,42.53,0.0
658.19,42.63,10.97,42.537,0.055
659.48,42.56,10.991,42.54,-0.054
660.76,42.56,11.013,42.543,0.0
662.04,42.56,11.034,42.546,0.0
663.33,42.63,11.056,42.552,0.054
664.61,42.56,11.077,42.555,-0.055
665.89,42.63,11.098,42.562,0.055
667.18,42.63,11.12,42.568,0.0
668.46,42.63,11.141,42.574,0.0
669.74,42.63,11.162,42.581,0.0
671.03,42.63,11.184,42.585,0.0
672.31,42.63,11.205,42.588,0.0
673.59,42.63,11.226,42.592,0.0
674.88,42.63,11.248,42.595,0.0
676.16,42.63,11.269,42.599,0.0
677.44,42.63,11.291,42.602,0.0
678.73,42.63,11.312,42.606,0.0
680.01,42.63,11.333,42.609,0.0
681.29,42.63,11.355,42.613,0.0
682.58,42.63,11.376,42.616,0.0
683.86,42.63,11.398,42.616,0.0
685.14,42.63,11.419,42.62,0.0
686.43,42.63,11.44,42.623,0.0
687.71,42.63,11.462,42.627,0.0
688.99,42.63,11.483,42.626,0.0
690.28,42.63,11.505,42.63,0.0
691.56,42.63,11.526,42.63,0.0
692.84,42.63,11.547,42.63,0.0
694.13,42.63,11.569,42.63,0.0
695.41,42.63,11.59,42.63,0.0
696.69,42.63,11.612,42.63,0.0
697.98,42.63,11.633,42.63,0.0
699.26,42.63,11.654,42.63,0.0
700.54,42.63,11.676,42.63,0.0
701.83,42.63,11.697,42.63,0.0
703.11,42.63,11.718,42.63,0.0
704.39,42.63,11.74,42.63,0.0
705.68,42.63,11.761,42.63,0.0
706.96,42.63,11.783,42.63,0.0
708.24,42.63,11.804,42.63,0.0
709.53,42.63,11.826,42.63,0.0
710.81,42.63,11.847,42.63,0.0
712.09,42.63,11.868,42.63,0.0
713.38,42.63,11.89,42.63,0.0
714.66,42.63,11.911,42.63,0.0
715.94,42.63,11.932,42.63,0.0
717.23,42.63,11.954,42.63,0.0
718.51,42.63,11.975,42.63,0.0
719.8,42.63,11.997,42.63,0.0
721.08,42.63,12.018,42.63,0.0
722.36,42.63,12.039,42.63,0.0
723.65,42.63,12.061,42.63,0.0
724.93,42.63,12.082,42.63,0.0
726.21,42.63,12.104,42.63,0.0
727.5,42.63,12.125,42.63,0.0
728.78,42.63,12.146,42.63,0.0
730.06,42.69,12.168,42.633,0.047
731.35,42.63,12.189,42.633,-0.047
732.63,42.63,12.21,42.633,0.0
733.91,42.63,12.232,42.633,0.0
735.2,42.63,12.253,42.633,0.0
736.48,42.63,12.275,42.633,0.0
737.76,42.63,12.296,42.633,0.0
739.05,42.63,12.317,42.633,0.0
740.33,42.63,12.339,42.633,0.0
741.61,42.63,12.36,42.633,0.0
742.9,42.63,12.382,42.633,0.0
744.18,42.63,12.403,42.633,0.0
745.46,42.63,12.424,42.633,0.0
746.75,42.63,12.446,42.633,0.0
748.03,42.63,12.467,42.633,0.0
749.31,42.63,12.488,42.633,0.0
750.6,42.63,12.51,42.633,0.0
751.88,42.63,12.531,42.633,0.0
753.16,42.63,12.553,42.633,0.0
754.45,42.63,12.574,42.633,0.0
755.73,42.63,12.596,42.63,0.0
757.02,42.63,12.617,42.63,0.0
758.3,42.63,12.638,42.63,0.0
759.58,42.69,12.66,42.633,0.047
760.87,42.69,12.681,42.636,0.0
762.15,42.63,12.702,42.636,-0.047
763.43,42.63,12.724,42.636,0.0
764.72,42.63,12.745,42.636,0.0
766.0,42.56,12.767,42.633,-0.055
767.28,42.63,12.788,42.633,0.055
768.57,42.56,12.81,42.629,-0.054
769.85,42.63,12.831,42.629,0.055
771.13,42.56,12.852,42.626,-0.055
772.42,42.56,12.874,42.622,0.0
773.7,42.56,12.895,42.618,0.0
774.98,42.56,12.916,42.615,0.0
776.27,42.56,12.938,42.612,0.0
777.55,42.56,12.959,42.608,0.0
778.83,42.5,12.981,42.602,-0.047
780.12,42.56,13.002,42.598,0.047
781.4,42.56,13.023,42.594,0.0
782.68,42.5,13.045,42.588,-0.047
783.97,42.56,13.066,42.585,0.047
785.25,42.56,13.088,42.578,0.0
786.53,42.5,13.109,42.568,-0.047
787.82,42.5,13.13,42.562,0.0
789.1,42.5,13.152,42.556,0.0
790.38,42.56,13.173,42.552,0.047
791.67,42.5,13.194,42.549,-0.047
792.95,42.5,13.216,42.543,0.0
794.23,42.5,13.237,42.54,0.0
795.52,42.5,13.259,42.533,0.0
796.8,42.5,13.28,42.53,0.0
798.08,42.5,13.301,42.527,0.0
799.37,42.5,13.323,42.524,0.0
800.65,42.5,13.344,42.521,0.0
801.93,42.5,13.365,42.518,0.0
803.22,42.5,13.387,42.515,0.0
804.5,42.5,13.408,42.515,0.0
805.79,42.5,13.43,42.512,0.0
807.07,42.5,13.451,42.509,0.0
808.35,42.5,13.472,42.509,0.0
809.63,42.5,13.494,42.506,0.0
810.92,42.5,13.515,42.503,0.0
812.2,42.5,13.537,42.503,0.0
813.5,42.5,13.558,42.503,0.0
814.77,42.5,13.58,42.503,0.0
816.05,42.5,13.601,42.5,0.0
817.34,42.5,13.622,42.5,0.0
818.62,42.5,13.644,42.5,0.0
819.9,42.5,13.665,42.5,0.0
821.19,42.5,13.686,42.5,0.0
822.47,42.5,13.708,42.5,0.0
823.75,42.5,13.729,42.5,0.0
825.04,42.5,13.751,42.5,0.0
826.32,42.44,13.772,42.497,-0.047
827.6,42.44,13.793,42.494,0.0
828.89,42.44,13.815,42.491,0.0
830.17,42.44,13.836,42.488,0.0
831.45,42.5,13.858,42.488,0.047
832.74,42.44,13.879,42.485,-0.047
834.02,42.5,13.9,42.485,0.047
835.3,42.5,13.922,42.485,0.0
836.59,42.5,13.943,42.485,0.0
837.87,42.5,13.964,42.485,0.0
839.15,42.5,13.986,42.485,0.0
840.44,42.44,14.007,42.482,-0.047
841.72,42.5,14.029,42.482,0.047
843.0,42.5,14.05,42.482,0.0
844.29,42.5,14.071,42.482,0.0
845.57,42.5,14.093,42.482,0.0
846.86,42.5,14.114,42.482,0.0
848.14,42.5,14.136,42.482,0.0
849.42,42.5,14.157,42.482,0.0
850.71,42.5,14.179,42.482,0.0
851.99,42.5,14.2,42.485,0.0
853.27,42.5,14.221,42.488,0.0
854.55,42.5,14.242,42.491,0.0
855.84,42.5,14.264,42.494,0.0
857.13,42.5,14.286,42.494,0.0
858.41,42.5,14.307,42.497,0.0
859.69,42.5,14.328,42.497,0.0
860.97,42.5,14.35,42.497,0.0
862.26,42.5,14.371,42.497,0.0
863.54,42.56,14.392,42.5,0.047
864.82,42.5,14.414,42.5,-0.047
866.11,42.56,14.435,42.506,0.047
867.39,42.56,14.456,42.509,0.0
868.67,42.56,14.478,42.512,0.0
869.96,42.56,14.499,42.515,0.0
871.24,42.56,14.521,42.518,0.0
872.52,42.56,14.542,42.521,0.0
873.81,42.56,14.564,42.524,0.0
875.09,42.56,14.585,42.527,0.0
876.37,42.56,14.606,42.53,0.0
877.66,42.56,14.628,42.533,0.0
878.94,42.63,14.649,42.54,0.055
880.22,42.56,14.67,42.543,-0.055
881.51,42.56,14.692,42.546,0.0
882.79,42.56,14.713,42.549,0.0
884.07,42.56,14.734,42.552,0.0
885.36,42.63,14.756,42.558,0.054
886.64,42.63,14.777,42.564,0.0
